,ID,Name,StatusClosed,ReviewCount,Rating,Distance,Latitude,Longitude,location.zip_code,Address
42,YGmGH31NI-kJiVIKi5iLqw,High Low Art Space,False,4,5.0,519.0620767055748,45.51587,-122.62926,97214,"['936 SE 34th St', 'Portland, OR 97214']"
44,dMNEgxdavXVMLIbCI15jKw,Stark Street Studios & Gallery,False,1,5.0,382.3515398412971,45.51953,-122.63701,97214,"['2809 SE Stark St', 'Portland, OR 97214']"
46,CzIhSce7VduQIgTF1m6svQ,Hopscotch - Portland,False,58,4.5,966.539888300719,45.515668,-122.65552,97214,"['1020 SE 10th Ave', 'Portland, OR 97214']"
47,SvmXC5uk4_CEKp18K-2Y6Q,Yale Union -YU,False,11,4.0,1037.5146880979028,45.5168726468268,-122.655422687531,97214,"['800 SE 10th St', 'Portland, OR 97214']"
48,QiS25JDJVrlP9G24gykeNA,i witness gallery,False,1,5.0,428.5320227738631,45.51532,-122.66553,97214,"['1028 SE Water Ave', 'Ste 50', 'Portland, OR 97214']"
49,igjJ8A4JbiTCI7KYJsvXdQ,AFRU Gallery,False,3,4.5,1053.549271153183,45.5199097,-122.6601218,97214,"['534 SE Oak', 'Portland, OR 97214']"
50,Pao3QJziFccq9pl89MUZMg,Robin Becic,False,1,5.0,793.2356702387199,45.51356,-122.67605,97201,"['1307 SW 1st Ave', 'Portland, OR 97201']"
53,nVlo9-Pwl_m3sbl1Z6nG3A,Paint With Joanne,False,1,5.0,707.9328257283673,45.5174721,-122.6632291,97214,"['215 SE Morrison Ave', 'Studio 6026', 'Portland, OR 97214']"
56,e9bQLv7zIwixI4WjMD8ifg,Rachel Austin paintings & other lovelies,False,1,4.0,1031.136016777189,45.5118,-122.67563,,"['Portland, OR']"
58,9pEQRidbuujSc-BWHV4-eQ,Worksound,False,4,4.5,1015.2287900328149,45.5175857543945,-122.65699005127,97214,"['820 SE Alder', 'Portland, OR 97214']"
62,qUeTlhaRtrEyLfoCgcNQSw,Painting Conservation Studio,False,5,5.0,393.9077328448146,45.52113,-122.65514,97214,"['221 SE 11th Ave', 'Portland, OR 97214']"
64,NRAVSzn4_kf9NIsBBDpxOQ,100th Monkey Studio,False,4,5.0,428.83331699533716,45.5219873,-122.6494151,97214,"['110 SE 16th Ave', 'Portland, OR 97214']"
67,Qg3KLdDRUaY1rBtxEVX8qg,Dark Star Magick,False,3,5.0,714.7213618613752,45.52321,-122.65796,97214,"['729 E Burnside St', 'Ste 103', 'Portland, OR 97214']"
71,vh8KqGir1lB5cn3_xhQqDg,O'Gallerie,False,34,2.5,880.9846479447397,45.52482,-122.65822,97232,"['228 NE 7th Ave', 'Portland, OR 97232']"
72,5-cX0uKITng4ONhwxRTQkQ,Blanc Space,False,1,5.0,514.7764558617644,45.52114,-122.65697,97214,"['215 SE 9th Ave', 'Ste 307', 'Portland, OR 97214']"
93,iHTM7j3saOMvqG5auepWtg,Cretin Art,False,1,4.0,983.7932479422441,45.52295,-122.67167,97209,"['108 W Burnside St', 'Portland Saturday Market', 'Portland, OR 97209']"
94,_w6WjMK5JZZ-kBe36xttOg,Fontanelle Gallery,False,1,1.0,915.7606859228308,45.52164,-122.67334,97204,"['205 SW Pine St', 'Portland, OR 97204']"
104,0-l8Qjq4ZIUk2CSYfiByEg,Eutectic Gallery,False,4,5.0,844.0335403692209,45.5283887,-122.6457655,97232,"['1930 NE Oregon', 'Portland, OR 97232']"
106,g2CQKG62yrmyqSQJhqzzJQ,Sonny's House of Tattoos and Treasures,False,1,5.0,514.3015974198877,45.52786208130512,-122.6401856,97232,"['2504 NE Sandy Blvd', 'Portland, OR 97232']"
114,3LfLLkuf65Q7MOQRIzpv2A,The Monkey & the Rat,False,2,4.5,110.26314515335433,45.52434,-122.67274,97209,"['131 NW 2nd Ave', 'Portland, OR 97209']"
115,vymGRJCUsANOMxCmqRXf5Q,p:ear,False,2,5.0,285.5648366076422,45.52576,-122.6762,97209,"['338 NW 6th Ave', 'Portland, OR 97209']"
122,i95jRHYiGXotj-M-xEtMAg,Breeze Block,False,1,4.0,322.62885586041494,45.5256881713867,-122.676834106445,97209,"['323 NW 6th Ave', 'Portland, OR 97209']"
123,AD-MypRxdHpgbLMIRj28dg,Tilt Gallery and Project Space,False,1,5.0,359.00445517295515,45.52541,-122.67711,97209,"['625 NW Everett St', 'Ste 106', 'Portland, OR 97209']"
126,azVz0w0x3AN-erZpsBJZeQ,Calla Lily Photos,False,1,5.0,267.4259420690569,45.52358,-122.67512,97255,"['412 NW Couch St', 'Portland, OR 97255']"
127,gOme8qM3WbHa8a9CD4T4sA,Sequential Art Gallery & Studio,False,2,4.0,374.1136700033073,45.52568,-122.67721,97255,"['328 NW Broadway', 'Portland, OR 97255']"
129,rhux0zk27qM5lGEISw89YA,Paxton Gate,False,22,5.0,204.29368633771585,45.528652,-122.698734663427,97210,"['811 NW 23rd Ave', 'Portland, OR 97210']"
130,lWmZTpHhhmPE_XmLfUYeGw,Like Nobody's Business,False,9,4.5,153.1518575645213,45.52923,-122.69828,97210,"['904 NW 23rd Ave', 'Portland, OR 97210']"
131,hPfanzX00-QqkqOXrnHLmg,Freakybuttrue Peculiarium,False,227,3.5,632.6267470097976,45.5354100819782,-122.6975984485975,97210,"['2234 NW Thurman St', 'Portland, OR 97210']"
132,RA7ahitp__N8n8cMX6IYZw,Russo Lee Gallery,False,3,3.5,193.7893333013376,45.5286144465208,-122.694590315223,97209,"['805 NW 21st Ave', 'Portland, OR 97209']"
133,mNscnC4VELgU5PQ47DiP-w,Katayama Framing,False,7,4.5,509.5621902280643,45.5343132019043,-122.697257995605,97210,"['2219 NW Raleigh St', 'Portland, OR 97210']"
135,Wgldht48vV2NyqUIUzVyrw,TibetanFox,False,3,4.0,182.1387103968412,45.5287819,-122.6988831,97210,"['827 NW 23rd Ave', 'Portland, OR 97210']"
136,fb6S8WHCl3Uf0Zwkj1wcIQ,Shogun's Gallery,False,3,5.0,917.1187504643198,45.5365789,-122.6900185,97209,"['1801 NW Upshur', 'Ste 370', 'Portland, OR 97209']"
138,BQmGJjmD4b54jPhQdPWjHA,PDX Contemporary Art,False,2,4.0,960.3731132629683,45.53720195853271,-122.690385,97209,"['1825 NW Vaughn St', 'Ste B', 'Portland, OR 97209']"
139,RRFVdtG0T5DSTYehDHsmIw,Wacom Experience Center,False,2,4.0,862.5726046915936,45.52806,-122.68586,97209,"['1455 NW Irving St', 'Ste 110', 'Portland, OR 97209']"
140,PC_Hogo8Eukq1irL85ak6A,OSA  Oregon Society Of Artists,False,6,3.0,914.2544553641076,45.52152,-122.69641,97205,"['2185 SW Park Pl', 'Portland, OR 97205']"
141,nmc8ANGSvWKn7qW4tR0F3Q,Working Artists Gallery,False,1,5.0,751.0063862742333,45.529774,-122.680488,97209,"['Portland, OR 97209']"
143,j6gJnOmaooLP9_yhPmBOVA,Jillian Rabe Production Haus,False,2,5.0,195.83189839853293,45.5306583952962,-122.683242559433,97209,"['1030 NW 12th Ave TH1', 'Portland, OR 97209']"
176,dqEoFSpFxS8I2Lz2sow_tA,Portland Art Museum Rental Sales Gallery,False,1,4.0,750.1904007274829,45.5163057893515,-122.684193402529,97205,"['1237 SW 10th Ave', 'Portland, OR 97205']"
241,0llCetF4XEIeKsnZmFcHNw,Paxton Gate,False,159,4.5,989.8789004347274,45.5540153917633,-122.675446183478,97217,"['4204 N Mississippi Ave', 'Portland, OR 97217']"
242,musuEhLan83VjV_tgxu5aQ,220 Salon,False,95,4.5,1140.4798254756063,45.554297004596066,-122.6666093,97217,"['4228 N Williams Ave', 'Portland, OR 97217']"
243,32zOSz7kQo31xdpO7bOUgQ,Rocks Box,False,1,5.0,1023.6883397008069,45.57056,-122.68174,97217,"['6540 N Interstate Ave', 'Portland, OR 97217']"
290,MdLawG2HnPqL2Wnxwg6DoQ,Pearl Gallery & Framing,False,1,5.0,771.3190096849919,45.5388838,-122.6964559,97210,"['2250 NW 22nd Ave', 'Ste 404', 'Portland, OR 97210']"
295,4h14zlQnjoujjMsaPPENkg,NW Marine Art Works,False,1,5.0,1339.9804496612928,45.5406,-122.71049,97210,"['2516 NW 29th Ave', 'Portland, OR 97210']"
299,rsUDYhf9PFRZ0LCcxVonRw,Land Gallery,False,25,4.5,817.0723974747768,45.551369793004,-122.67576106915,97227,"['3925 N Mississippi Ave', 'Portland, OR 97227']"
300,hDMR6AeYnVqVSiBd943Y2g,FISK Gallery,False,1,5.0,411.01936940164444,45.54909,-122.66194,97212,"['3613 NE Martin Luther King Jr Blvd', 'Portland, OR 97212']"
301,CICz56yFHvv9X9dN5KiJBw,Panurgic,False,2,1.0,411.6316717209453,45.549099,-122.661934,97212,"['3613 NE Martin Luther King Jr Blvd', 'Portland, OR 97212']"
302,U9oVybqQh4AJeA6DpSaMqw,Old Moody Building,False,1,5.0,270.50692530041243,45.500374,-122.670619,97239,"['3121 S Moody Ave', 'Portland, OR 97239']"
