,Name,ReviewCount,Rating,location.zip_code,empty_slots,free_bikes,Latitude,Longitude,Distance
86,SE 9th at Belmont,,,,5.0,12.0,0.0,0.0,
87,N Mason at Williams,,,,12.0,0.0,0.0,0.0,
88,SE Hawthorne at 20th,,,,8.0,5.0,0.0,0.0,
89,NW Nicolai at Sherlock,,,,1.0,1.0,0.0,0.0,
90,NE 28th at Glisan,,,,3.0,0.0,0.0,0.0,
91,NE Alberta at 22nd,,,,3.0,1.0,0.0,0.0,
92,NE Alberta at 24th,,,,5.0,0.0,0.0,0.0,
93,NE 2nd at Schuyler,,,,6.0,5.0,0.0,0.0,
94,N Interstate at Willamette,,,,8.0,0.0,0.0,0.0,
95,SW Moody at Thomas,,,,11.0,3.0,0.0,0.0,
96,NE Multnomah at Grand,,,,5.0,1.0,0.0,0.0,
97,NE Multnomah at 9th,,,,8.0,0.0,0.0,0.0,
98,NE Going at Grand,,,,17.0,1.0,0.0,0.0,
99,NE Sandy at 16th,,,,17.0,1.0,0.0,0.0,
100,NE 22nd at Burnside,,,,8.0,3.0,0.0,0.0,
101,SE 2nd Pl at Tilikum Way,,,,0.0,19.0,0.0,0.0,
102,SE 29th at Hawthorne,,,,13.0,5.0,0.0,0.0,
103,NE Alberta at 14th,,,,3.0,0.0,0.0,0.0,
104,NE Alberta at 10th,,,,5.0,0.0,0.0,0.0,
105,NE Couch at MLK,,,,2.0,3.0,0.0,0.0,
106,NW Broadway at Everett,,,,12.0,6.0,0.0,0.0,
107,SE 34th at Division,,,,12.0,5.0,0.0,0.0,
108,SE 30th at Division,,,,16.0,0.0,0.0,0.0,
109,SW 10th at Columbia,,,,7.0,2.0,0.0,0.0,
110,SW 12th at Clay,,,,8.0,1.0,0.0,0.0,
111,SW Harrison at 1st,,,,15.0,3.0,0.0,0.0,
112,SW Moody at Aerial Tram Terminal,,,,10.0,7.0,0.0,0.0,
113,NW Thurman at 24th,,,,0.0,17.0,0.0,0.0,
114,NW Raleigh at 21st,,,,0.0,14.0,0.0,0.0,
115,NW Marshall at Tanner Springs Park,,,,9.0,7.0,0.0,0.0,
116,NW 13th at Marshall,,,,3.0,13.0,0.0,0.0,
117,NW 18th at Northrup,,,,7.0,4.0,0.0,0.0,
118,NE Alberta at 29th/30th,,,,1.0,4.0,0.0,0.0,
119,NE 33rd at Jarrett (Kennedy School),,,,0.0,4.0,0.0,0.0,
120,NE 14th Pl at Prescott,,,,2.0,1.0,0.0,0.0,
121,NE Fremont at 15th,,,,2.0,4.0,0.0,0.0,
122,N Michigan at Killingsworth,,,,2.0,1.0,0.0,0.0,
123,N Prescott at Interstate,,,,17.0,1.0,0.0,0.0,
124,NE Glisan at 24th,,,,11.0,0.0,0.0,0.0,
125,NE Wheeler at Multnomah,,,,10.0,4.0,0.0,0.0,
126,N Mississippi at Skidmore,,,,10.0,2.0,0.0,0.0,
127,N Vancouver at Alberta,,,,17.0,1.0,0.0,0.0,
128,NW Everett at 22nd,,,,14.0,2.0,0.0,0.0,
129,NE 15th at Broadway,,,,4.0,8.0,0.0,0.0,
130,SE 29th at Stark,,,,13.0,4.0,0.0,0.0,
131,SE Clinton at 21st,,,,13.0,4.0,0.0,0.0,
132,SE Belmont at 20th,,,,10.0,2.0,0.0,0.0,
133,N Killingsworth at Gay,,,,5.0,0.0,0.0,0.0,
134,SW 4th at College,,,,6.0,6.0,0.0,0.0,
135,NE 17th at Killingsworth,,,,2.0,1.0,0.0,0.0,
136,NE Killingsworth at 30th,,,,2.0,6.0,0.0,0.0,
137,SE 9th at Burnside,,,,5.0,9.0,0.0,0.0,
138,SE 40th at Hawthorne,,,,4.0,4.0,0.0,0.0,
139,Metro Campus,,,,5.0,3.0,0.0,0.0,
140,NE 10th at Halsey,,,,8.0,0.0,0.0,0.0,
141,NE 50th at Sandy,,,,8.0,0.0,0.0,0.0,
142,NE 60th at Cully,,,,6.0,2.0,0.0,0.0,
143,NE 42nd at Alberta Court,,,,8.0,0.0,0.0,0.0,
144,NE Glisan at 53rd,,,,6.0,1.0,0.0,0.0,
145,SW Park at SW Wright (Oregon Holocaust Memorial),,,,6.0,3.0,0.0,0.0,
146,NW 19th at Johnson,,,,13.0,2.0,0.0,0.0,
147,NE Cully at Killingsworth,,,,0.0,7.0,0.0,0.0,
148,NE 43rd at Sandy,,,,4.0,0.0,0.0,0.0,
149,N Wheeler at Broadway,,,,10.0,2.0,0.0,0.0,
150,SE Powell Blvd at 28th,,,,6.0,0.0,0.0,0.0,
151,NE 42nd at Hancock,,,,6.0,1.0,0.0,0.0,
152,SW Salmon at Waterfront Park,,,,13.0,4.0,0.0,0.0,
153,SE 50th at Clinton,,,,4.0,1.0,0.0,0.0,
154,NE 11th at Holladay Park,,,,10.0,1.0,0.0,0.0,
155,SE Gladstone at 28th Place,,,,0.0,5.0,0.0,0.0,
156,SE 35th Place at Powell Blvd,,,,3.0,4.0,0.0,0.0,
157,PSU Business Accelerator,,,,3.0,0.0,0.0,0.0,
158,NE Holladay at 2nd,,,,5.0,4.0,0.0,0.0,
159,SE Salmon St at 10th,,,,0.0,9.0,0.0,0.0,
160,NW 10th at Everett,,,,15.0,1.0,0.0,0.0,
161,SW Naito at Morrison,,,,17.0,0.0,0.0,0.0,
162,SW 5th at Morrison,,,,11.0,7.0,0.0,0.0,
163,SW Naito at Ankeny Plaza,,,,6.0,12.0,0.0,0.0,
164,SW Morrison at Pioneer Courthouse Sq.,,,,5.0,12.0,0.0,0.0,
165,SW 3rd at Morrison,,,,9.0,2.0,0.0,0.0,
166,SW 5th at Oak,,,,5.0,12.0,0.0,0.0,
167,NE MLK at Knott,,,,16.0,2.0,0.0,0.0,
168,SW 3rd at Ankeny,,,,14.0,2.0,0.0,0.0,
169,SW Yamhill at Director Park,,,,8.0,12.0,0.0,0.0,
170,NW Raleigh at 13th,,,,0.0,14.0,0.0,0.0,
171,SE 12th Ave at Hawthorne,,,,5.0,2.0,0.0,0.0,
172,SW Rose Garden Way (Washington Park),,,,7.0,2.0,0.0,0.0,
173,SE Division at 115th ave,,,,7.0,1.0,0.0,0.0,
174,NW 3rd at Couch,,,,1.0,6.0,0.0,0.0,
175,NE Glisan at 60th,,,,7.0,0.0,0.0,0.0,
176,Roosevelt HS Bike Corral,,,,5.0,3.0,0.0,0.0,
177,SW 4th at Madison,,,,3.0,2.0,0.0,0.0,
178,Lincoln Hall,,,,2.0,2.0,0.0,0.0,
179,Shattuck Hall,,,,0.0,3.0,0.0,0.0,
180,W Burnside at SW Park Ave,,,,5.0,4.0,0.0,0.0,
181,SE 17th Ave at Mall St,,,,0.0,13.0,0.0,0.0,
182,NE Ainsworth at Grand Ave,,,,9.0,0.0,0.0,0.0,
183,N Interstate at Rosa Parks Way,,,,6.0,0.0,0.0,0.0,
