,Name,ReviewCount,Rating,location.zip_code,empty_slots,free_bikes,Latitude,Longitude,Distance
109,SW 10th at Columbia,,4.0,,7.0,2.0,0.0,0.0,652.0
110,SW 12th at Clay,,4.0,,8.0,1.0,0.0,0.0,652.0
111,SW Harrison at 1st,,4.0,,15.0,3.0,0.0,0.0,652.0
112,SW Moody at Aerial Tram Terminal,,4.0,,10.0,7.0,0.0,0.0,652.0
113,NW Thurman at 24th,,4.0,,0.0,17.0,0.0,0.0,652.0
114,NW Raleigh at 21st,,4.0,,0.0,14.0,0.0,0.0,652.0
115,NW Marshall at Tanner Springs Park,,4.0,,9.0,7.0,0.0,0.0,652.0
116,NW 13th at Marshall,,4.0,,3.0,13.0,0.0,0.0,652.0
117,NW 18th at Northrup,,4.0,,7.0,4.0,0.0,0.0,652.0
118,NE Alberta at 29th/30th,,4.0,,1.0,4.0,0.0,0.0,652.0
119,NE 33rd at Jarrett (Kennedy School),,4.0,,0.0,4.0,0.0,0.0,652.0
120,NE 14th Pl at Prescott,,4.0,,2.0,1.0,0.0,0.0,652.0
121,NE Fremont at 15th,,4.0,,2.0,4.0,0.0,0.0,652.0
122,N Michigan at Killingsworth,,4.0,,2.0,1.0,0.0,0.0,652.0
123,N Prescott at Interstate,,4.0,,17.0,1.0,0.0,0.0,652.0
124,NE Glisan at 24th,,4.0,,11.0,0.0,0.0,0.0,652.0
125,NE Wheeler at Multnomah,,4.0,,10.0,4.0,0.0,0.0,652.0
126,N Mississippi at Skidmore,,4.0,,10.0,2.0,0.0,0.0,652.0
127,N Vancouver at Alberta,,4.0,,17.0,1.0,0.0,0.0,652.0
128,NW Everett at 22nd,,4.0,,14.0,2.0,0.0,0.0,652.0
129,NE 15th at Broadway,,4.0,,4.0,8.0,0.0,0.0,652.0
130,SE 29th at Stark,,4.0,,13.0,4.0,0.0,0.0,652.0
131,SE Clinton at 21st,,4.0,,13.0,4.0,0.0,0.0,652.0
132,SE Belmont at 20th,,4.0,,10.0,2.0,0.0,0.0,652.0
133,N Killingsworth at Gay,,4.0,,5.0,0.0,0.0,0.0,652.0
134,SW 4th at College,,4.0,,6.0,6.0,0.0,0.0,652.0
135,NE 17th at Killingsworth,,4.0,,2.0,1.0,0.0,0.0,652.0
136,NE Killingsworth at 30th,,4.0,,2.0,6.0,0.0,0.0,652.0
137,SE 9th at Burnside,,4.0,,5.0,9.0,0.0,0.0,652.0
138,SE 40th at Hawthorne,,4.0,,4.0,4.0,0.0,0.0,652.0
139,Metro Campus,,4.0,,5.0,3.0,0.0,0.0,652.0
140,NE 10th at Halsey,,4.0,,8.0,0.0,0.0,0.0,652.0
141,NE 50th at Sandy,,4.0,,8.0,0.0,0.0,0.0,652.0
142,NE 60th at Cully,,4.0,,6.0,2.0,0.0,0.0,652.0
143,NE 42nd at Alberta Court,,4.0,,8.0,0.0,0.0,0.0,652.0
144,NE Glisan at 53rd,,4.0,,6.0,1.0,0.0,0.0,652.0
145,SW Park at SW Wright (Oregon Holocaust Memorial),,4.0,,6.0,3.0,0.0,0.0,652.0
146,NW 19th at Johnson,,4.0,,13.0,2.0,0.0,0.0,652.0
147,NE Cully at Killingsworth,,4.0,,0.0,7.0,0.0,0.0,652.0
148,NE 43rd at Sandy,,4.0,,4.0,0.0,0.0,0.0,652.0
149,N Wheeler at Broadway,,4.0,,10.0,2.0,0.0,0.0,652.0
150,SE Powell Blvd at 28th,,4.0,,6.0,0.0,0.0,0.0,652.0
151,NE 42nd at Hancock,,4.0,,6.0,1.0,0.0,0.0,652.0
152,SW Salmon at Waterfront Park,,4.0,,13.0,4.0,0.0,0.0,652.0
153,SE 50th at Clinton,,4.0,,4.0,1.0,0.0,0.0,652.0
154,NE 11th at Holladay Park,,4.0,,10.0,1.0,0.0,0.0,652.0
155,SE Gladstone at 28th Place,,4.0,,0.0,5.0,0.0,0.0,652.0
156,SE 35th Place at Powell Blvd,,4.0,,3.0,4.0,0.0,0.0,652.0
157,PSU Business Accelerator,,4.0,,3.0,0.0,0.0,0.0,652.0
158,NE Holladay at 2nd,,4.0,,5.0,4.0,0.0,0.0,652.0
159,SE Salmon St at 10th,,4.0,,0.0,9.0,0.0,0.0,652.0
160,NW 10th at Everett,,4.0,,15.0,1.0,0.0,0.0,652.0
161,SW Naito at Morrison,,4.0,,17.0,0.0,0.0,0.0,652.0
162,SW 5th at Morrison,,4.0,,11.0,7.0,0.0,0.0,652.0
163,SW Naito at Ankeny Plaza,,4.0,,6.0,12.0,0.0,0.0,652.0
164,SW Morrison at Pioneer Courthouse Sq.,,4.0,,5.0,12.0,0.0,0.0,652.0
165,SW 3rd at Morrison,,4.0,,9.0,2.0,0.0,0.0,652.0
166,SW 5th at Oak,,4.0,,5.0,12.0,0.0,0.0,652.0
167,NE MLK at Knott,,4.0,,16.0,2.0,0.0,0.0,652.0
168,SW 3rd at Ankeny,,4.0,,14.0,2.0,0.0,0.0,652.0
169,SW Yamhill at Director Park,,4.0,,8.0,12.0,0.0,0.0,652.0
170,NW Raleigh at 13th,,4.0,,0.0,14.0,0.0,0.0,652.0
171,SE 12th Ave at Hawthorne,,4.0,,5.0,2.0,0.0,0.0,652.0
172,SW Rose Garden Way (Washington Park),,4.0,,7.0,2.0,0.0,0.0,652.0
173,SE Division at 115th ave,,4.0,,7.0,1.0,0.0,0.0,652.0
174,NW 3rd at Couch,,4.0,,1.0,6.0,0.0,0.0,652.0
175,NE Glisan at 60th,,4.0,,7.0,0.0,0.0,0.0,652.0
176,Roosevelt HS Bike Corral,,4.0,,5.0,3.0,0.0,0.0,652.0
177,SW 4th at Madison,,4.0,,3.0,2.0,0.0,0.0,652.0
178,Lincoln Hall,,4.0,,2.0,2.0,0.0,0.0,652.0
179,Shattuck Hall,,4.0,,0.0,3.0,0.0,0.0,652.0
180,W Burnside at SW Park Ave,,4.0,,5.0,4.0,0.0,0.0,652.0
181,SE 17th Ave at Mall St,,4.0,,0.0,13.0,0.0,0.0,652.0
182,NE Ainsworth at Grand Ave,,4.0,,9.0,0.0,0.0,0.0,652.0
183,N Interstate at Rosa Parks Way,,4.0,,6.0,0.0,0.0,0.0,652.0
184,NE Dekum at Oneonta St,,4.0,,0.0,14.0,0.0,0.0,652.0
185,NE Shaver west of 122nd Ave (Parkrose HS),,4.0,,4.0,4.0,0.0,0.0,652.0
186,NE Killingsworth at 6th Ave,,4.0,,2.0,0.0,0.0,0.0,652.0
187,NE Alberta at 18th,,4.0,,7.0,2.0,0.0,0.0,652.0
188,NE Halsey at 102nd,,4.0,,11.0,0.0,0.0,0.0,652.0
189,N Interstate Ave at Lombard,,4.0,,4.0,1.0,0.0,0.0,652.0
190,N Fremont at Interstate Ave,,4.0,,6.0,0.0,0.0,0.0,652.0
191,SE Foster at 54th Ave,,4.0,,2.0,0.0,0.0,0.0,652.0
192,SE 96th Ave at Main,,4.0,,4.0,0.0,0.0,0.0,652.0
193,NE 99th at Multnomah St,,4.0,,8.0,0.0,0.0,0.0,652.0
194,Cully Park,,4.0,,0.0,7.0,0.0,0.0,652.0
195,SE Stark at 79th Ave,,4.0,,6.0,0.0,0.0,0.0,652.0
196,N Denver at Interstate Ave,,4.0,,3.0,3.0,0.0,0.0,652.0
197,NE Ainsworth at 42nd Ave,,4.0,,3.0,1.0,0.0,0.0,652.0
198,N Willamette Blvd at Portsmouth,,4.0,,4.0,1.0,0.0,0.0,652.0
199,NE 41st at Sandy Blvd (Hollywood Theatre),,4.0,,12.0,0.0,0.0,0.0,652.0
200,Kerr Bikes/Adaptive BIKETOWN,,4.0,,5.0,1.0,0.0,0.0,652.0
201,NE Prescott at 72nd Ave,,4.0,,0.0,6.0,0.0,0.0,652.0
202,N Willamette at Buchanan,,4.0,,7.0,0.0,0.0,0.0,652.0
203,SW 5th at Main,,4.0,,12.0,2.0,0.0,0.0,652.0
204,NE Fremont at 24th,,4.0,,5.0,0.0,0.0,0.0,652.0
205,Epler Hall,,4.0,,3.0,0.0,0.0,0.0,652.0
206,PSU SRTC,,4.0,,2.0,2.0,0.0,0.0,652.0
207,OHSU Marquam Hill,,4.0,,9.0,0.0,0.0,0.0,652.0
208,NE Sumner at MLK,,4.0,,3.0,0.0,0.0,0.0,652.0
209,SE 64th at Lincoln St,,4.0,,1.0,0.0,0.0,0.0,652.0
210,SE Holgate at 82nd Ave,,4.0,,5.0,0.0,0.0,0.0,652.0
211,NW Naito at Couch,,4.0,,3.0,2.0,0.0,0.0,652.0
212,N Willamette Blvd at Harvard St,,4.0,,3.0,0.0,0.0,0.0,652.0
213,NE Knott at 33rd,,4.0,,3.0,2.0,0.0,0.0,652.0
214,N Rosa Parks at Greeley,,4.0,,5.0,0.0,0.0,0.0,652.0
215,E Burnside at 102nd,,4.0,,5.0,4.0,0.0,0.0,652.0
216,NE 68th at Sandy,,4.0,,5.0,4.0,0.0,0.0,652.0
217,NE Alberta at 31st Ave,,4.0,,0.0,4.0,0.0,0.0,652.0
218,NW Front at 17th,,4.0,,12.0,3.0,0.0,0.0,652.0
219,Millar Library,,4.0,,2.0,2.0,0.0,0.0,652.0
220,N Willis Blvd at N Courtenay Ave,,4.0,,5.0,1.0,0.0,0.0,652.0
221,NE 122nd Ave at Glisan St,,4.0,,6.0,0.0,0.0,0.0,652.0
222,SE Foster at 72nd,,4.0,,9.0,3.0,0.0,0.0,652.0
223,N Lombard at N Fortune,,4.0,,9.0,0.0,0.0,0.0,652.0
224,NE Siskiyou at 81st Ave,,4.0,,8.0,1.0,0.0,0.0,652.0
225,N Lombard at Burlington,,4.0,,6.0,2.0,0.0,0.0,652.0
226,NE Sandy at 96th,,4.0,,8.0,0.0,0.0,0.0,652.0
227,SE 34th at Hawthorne,,4.0,,6.0,4.0,0.0,0.0,652.0
228,Doernbecher Children's Hospital,,4.0,,6.0,0.0,0.0,0.0,652.0
229,SW Broadway at Smith Memorial Student Union,,4.0,,17.0,6.0,0.0,0.0,652.0
230,N Trenton at N Newman,,4.0,,8.0,1.0,0.0,0.0,652.0
231,NW 20th Pl (Fred Meyer),,4.0,,15.0,1.0,0.0,0.0,652.0
232,N Pittsburg at N Crawford,,4.0,,9.0,0.0,0.0,0.0,652.0
233,SE 122nd at Burnside,,4.0,,4.0,0.0,0.0,0.0,652.0
234,NE Alberta at 12th,,4.0,,5.0,0.0,0.0,0.0,652.0
235,NE Failing St at 79th Ave,,4.0,,7.0,0.0,0.0,0.0,652.0
236,NW Flanders at 14th Ave,,4.0,,9.0,0.0,0.0,0.0,652.0
237,NW 18th at Flanders,,4.0,,16.0,0.0,0.0,0.0,652.0
238,N Concord Ave at Killingsworth St,,4.0,,5.0,0.0,0.0,0.0,652.0
239,NW Naito at Ironside,,4.0,,3.0,6.0,0.0,0.0,652.0
240,NE 78th at Glisan,,4.0,,3.0,3.0,0.0,0.0,652.0
241,SE Division at 82nd,,4.0,,6.0,1.0,0.0,0.0,652.0
242,N Midway at Fessenden St,,4.0,,5.0,4.0,0.0,0.0,652.0
243,SE Stark at 102nd,,4.0,,6.0,0.0,0.0,0.0,652.0
244,NE 82nd at Jonesmore,,4.0,,7.0,0.0,0.0,0.0,652.0
245,N Morris at Vancouver,,4.0,,5.0,3.0,0.0,0.0,652.0
246,NE Halsey St at 106th,,4.0,,12.0,1.0,0.0,0.0,652.0
247,N Rosa Parks Way at Albina,,4.0,,4.0,1.0,0.0,0.0,652.0
248,NE Killingsworth at NE 52nd,,4.0,,0.0,8.0,0.0,0.0,652.0
249,Broadway Residence Hall,,4.0,,1.0,3.0,0.0,0.0,652.0
250,SE 79th at Powell Blvd,,4.0,,4.0,2.0,0.0,0.0,652.0
251,SE 113th at Stark,,4.0,,3.0,2.0,0.0,0.0,652.0
252,N Burrage Ave & N Houghton St,,4.0,,0.0,4.0,0.0,0.0,652.0
253,NE Emerson at MLK Blvd,,4.0,,7.0,0.0,0.0,0.0,652.0
254,Casey Eye Institute,,4.0,,6.0,0.0,0.0,0.0,652.0
255,SE Woodward at 82nd Ave,,4.0,,7.0,0.0,0.0,0.0,652.0
256,NW Flanders at 10th,,4.0,,0.0,5.0,0.0,0.0,652.0
257,NE Broadway at 12th,,4.0,,2.0,14.0,0.0,0.0,652.0
258,SE 92nd at SE Holgate,,4.0,,8.0,0.0,0.0,0.0,652.0
259,SE 28th at Pine,,4.0,,6.0,0.0,0.0,0.0,652.0
260,N Central at N Ida,,4.0,,8.0,1.0,0.0,0.0,652.0
261,SE Milwaukie at Pershing,,4.0,,0.0,10.0,0.0,0.0,652.0
262,SE 92nd at Foster,,4.0,,5.0,2.0,0.0,0.0,652.0
263,NE Alameda at 58th Ave,,4.0,,4.0,1.0,0.0,0.0,652.0
264,Urban Center Plaza at SW 6th,,4.0,,8.0,6.0,0.0,0.0,652.0
265,SE 82nd Ave at SE Francis (Eastport Plaza),,4.0,,3.0,0.0,0.0,0.0,652.0
266,Lone Fir Cemetery,,4.0,,3.0,0.0,0.0,0.0,652.0
267,N Alberta Street at Interstate Ave,,4.0,,6.0,0.0,0.0,0.0,652.0
268,SE 81st Ave at E Burnside St,,4.0,,1.0,5.0,0.0,0.0,652.0
269,N Winchell at N Woolsey,,4.0,,8.0,1.0,0.0,0.0,652.0
270,SW 18th at Jefferson,,4.0,,7.0,6.0,0.0,0.0,652.0
271,SE Holgate at SE Foster,,4.0,,1.0,8.0,0.0,0.0,652.0
272,N Charleston at N Fessenden,,4.0,,8.0,0.0,0.0,0.0,652.0
273,SE Alder at 6th,,4.0,,10.0,0.0,0.0,0.0,652.0
274,SE 8th at Alder,,4.0,,1.0,4.0,0.0,0.0,652.0
275,Cleveland High School,,4.0,,8.0,1.0,0.0,0.0,652.0
276,NE 37th at NE Shaver,,4.0,,4.0,2.0,0.0,0.0,652.0
277,NE 29th Ave (U of O),,4.0,,1.0,5.0,0.0,0.0,652.0
